player.id,Spielername,Nationalteam.name,Club.name,Reason
732,L. Zidane,Algeria,,empty-club-name
327599,Y. Titraoui,Algeria,,empty-club-name
334915,F. Ghedjemis,Algeria,,empty-club-name
20869,S. Chergui,Algeria,,empty-club-name
2465,J. Musso,Argentina,,empty-club-name
6,L. Balerdi,Argentina,,empty-club-name
426480,Lucas Herrington,Australia,,empty-club-name
296645,T. Yengi,Australia,,empty-club-name
7525,A. Schlager,Austria,,empty-club-name
126640,D. Affengruber,Austria,,empty-club-name
25287,K. Danso,Austria,,empty-club-name
1095,X. Schlager,Austria,,empty-club-name
264094,B. Tahirovic,Bosnia & Herzegovina,,empty-club-name
7318,A. Dedic,Bosnia & Herzegovina,,empty-club-name
70514,A. Gigovic,Bosnia & Herzegovina,,empty-club-name
314377,S. Bazdar,Bosnia & Herzegovina,,empty-club-name
46930,E. Demirovic,Bosnia & Herzegovina,,empty-club-name
790,E. Dzeko,Bosnia & Herzegovina,,empty-club-name
78494,J. Waterman,Canada,,empty-club-name
50788,M. Choinière,Canada,,empty-club-name
35570,S. Eustáquio,Canada,,empty-club-name
328046,I. Koné,Canada,,empty-club-name
2001,C. Larin,Canada,,empty-club-name
8489,J. David,Canada,,empty-club-name
19182,A. Tuanzebe,Congo DR,,empty-club-name
8445,D. Batubinsika,Congo DR,,empty-club-name
375598,N. Mukau,Congo DR,,empty-club-name
129670,N. Mbuku,Congo DR,,empty-club-name
21101,S. Moutoussamy,Congo DR,,empty-club-name
279482,B. Cipenga,Congo DR,,empty-club-name
726,Andrej Kramarić,Croatia,,empty-club-name
754,L. Modric,Croatia,,empty-club-name
46746,A. Budimir,Croatia,,empty-club-name
14268,I. Pandur,Croatia,,empty-club-name
842,N. Vlasic,Croatia,,empty-club-name
207,I. Perisic,Croatia,,empty-club-name
128793,D. Jurásek,Czech Republic,,empty-club-name
66387,P. Sulc,Czech Republic,,empty-club-name
66347,J. Stanek,Czech Republic,,empty-club-name
66353,L. Provod,Czech Republic,,empty-club-name
241,M. Sadílek,Czech Republic,,empty-club-name
818,T. Chorý,Czech Republic,,empty-club-name
2649,Ahmed Fatouh,Egypt,,empty-club-name
16813,Hamdi Fathy,Egypt,,empty-club-name
2656,Karim Hafez,Egypt,,empty-club-name
16831,Al Mahdi Soliman,Egypt,,empty-club-name
16841,Mohanad Lasheen,Egypt,,empty-club-name
2660,Nabil Emad Dunga,Egypt,,empty-club-name
664079,Ahmed Zizo,Egypt,,empty-club-name
550469,M. Alaa,Egypt,,empty-club-name
25927,J. Mateta,France,,empty-club-name
347211,R. Risser,France,,empty-club-name
156477,R. Cherki,France,,empty-club-name
274300,M. Akliouche,France,,empty-club-name
20995,M. Lacroix,France,,empty-club-name
497,M. Neuer,Germany,,empty-club-name
475575,Caleb Marfo Yirenkyi,Ghana,FC Nordsjælland,no-safe-logo-match
47294,Iñaki Dannis Williams,Ghana,,empty-club-name
337426,A. Boakye,Ghana,,empty-club-name
199837,K. Sulemana,Ghana,,empty-club-name
25341,D. Luckassen,Ghana,,empty-club-name
350856,E. Nuamah,Ghana,,empty-club-name
540857,C. F. Sainte,Haiti,,empty-club-name
643918,M. Ghaedi,Iran,,empty-club-name
343405,Aria Yousefi,Iran,,empty-club-name
29937,Amirhossein Hosseinzadeh,Iran,,empty-club-name
533035,A. Nemati,Iran,,empty-club-name
89982,S. Moghanlou,Iran,,empty-club-name
341844,M. Ghorbani,Iran,,empty-club-name
29755,H. Hosseini,Iran,,empty-club-name
532950,D. Eiri,Iran,,empty-club-name
123802,Fahad Talib,Iraq,Al Talaba SC,no-safe-logo-match
542697,Meme,Iraq,,empty-club-name
542842,A. Y. Hashim,Iraq,,empty-club-name
49451,Aymen Hussein,Iraq,Al Karma SC,no-safe-logo-match
626479,Z. Ismaeel,Iraq,,empty-club-name
33889,Kaishu Sano,Japan,,empty-club-name
351014,Junnosuke Suzuki,Japan,FC København,no-safe-logo-match
422572,K. Shiogai,Japan,,empty-club-name
140607,Yazid Abu Layla,Jordan,,empty-club-name
542710,M. Abu Hasheesh,Jordan,,empty-club-name
310835,Abdallah Naseeb,Jordan,,empty-club-name
542822,H. Abu Al Dahab,Jordan,,empty-club-name
